Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
6693,276,140,2011,5.004361,0,0,0
4213,253,86,1984,101.434652,0,1,0
13600,900,168,1985,36.456539,1,1,0
3219,206,63,1997,152.310962,0,1,0
3100,277,121,2006,79.477941,0,0,0
1690,248,60,1973,184.351294,0,1,0
1282,418,131,2008,40.28665,0,0,0
5768,148,120,1940,341.492501,0,1,0
5481,158,146,1954,110.518015,1,1,0
1451,162,63,1994,176.737858,0,1,0
7415,350,168,1986,48.651949,0,1,0
1375,220,126,2012,126.763063,0,1,0
7692,466,171,2000,76.781933,0,1,0
1007,227,63,1974,256.388204,0,1,0
1028,145,48,1985,124.372755,0,1,0
1101,180,49,1969,176.88571,0,1,0
22127,652,251,1952,36.025484,1,1,0
1946,107,99,1979,139.927311,0,1,0
1025,69,52,2000,294.183858,0,1,0
1679,242,114,2005,167.850046,0,1,0
1239,122,58,1998,237.144796,0,1,0
1164,165,40,1970,153.217712,0,1,0
3098,200,115,2004,160.711692,0,1,0
1100,124,54,2009,217.105808,0,0,0
9800,348,115,1970,42.848226,0,1,0
3774,1050,77,1980,87.902381,0,1,0
1470,200,60,1973,119.161051,0,1,0
1107,194,106,1955,58.860257,0,1,0
3110,240,87,1992,106.862281,0,1,0
3334,150,102,1930,72.596005,0,1,0
1800,122,80,2001,225.773069,0,1,0
1047,153,48,2002,196.97895,0,1,0
1413,455,30,1980,93.51775,0,1,0
3138,546,140,1980,97.704564,1,1,0
5091,185,77,1972,56.271237,1,1,0
1494,636,194,1987,75.213838,0,1,0
2123,239,109,2001,126.641509,0,1,0
9100,304,140,2006,70.975591,0,0,0
1402,74,92,1962,136.769262,0,1,0
1146,500,79,1985,94.438347,0,1,0
17731,5001,147,1980,18.412672,0,0,0
1660,143,82,2010,129.315429,0,0,0
2780,192,98,2006,127.318227,0,1,0
2788,313,130,1963,32.106188,0,1,0
3910,128,80,2010,33.969678,0,0,0
3063,1920,18,1975,23.159653,0,1,0
1650,117,80,2004,245.093168,0,1,0
3883,484,213,1978,207.062776,0,1,0
1918,108,79,2008,192.260843,0,1,0
2336,188,116,1997,178.556329,0,1,0
1604,260,93,1998,152.218627,0,1,0
1712,128,83,2009,67.520009,0,1,0
28408,1053,536,2004,28.684277,1,0,0
2416,139,45,2001,174.895538,0,1,0
5444,240,74,1964,99.741958,0,1,0
1085,60,46,1993,399.726564,0,1,0
8682,400,140,1997,66.67449,0,1,0
1421,157,60,2010,2.751447,0,1,0
1328,242,48,1973,78.248097,0,1,0
14131,930,348,1996,30.785561,1,1,0
16721,1031,284,1993,9.108147,0,0,0
1437,299,108,2001,102.537086,0,1,0
3331,203,75,1974,72.836954,0,1,0
1718,388,125,2002,79.503671,0,1,0
3100,217,98,2006,127.318227,0,1,0
1246,312,106,1908,111.176167,0,1,0
1251,204,106,1981,132.771355,0,1,0
4375,175,114,2005,68.986381,0,1,0
1267,343,150,1974,79.258793,0,1,0
1698,165,60,1981,169.854981,0,1,0
14653,925,405,2010,28.822817,1,1,0
7992,415,367,1930,354.48691,0,1,0
1770,334,156,1972,56.549653,0,1,0
2402,230,123,1972,58.522694,0,1,0
1434,185,89,1998,154.635802,0,1,0
4302,179,74,1968,76.804251,0,1,0
1612,207,93,1999,137.867946,0,1,0
2703,400,115,1944,125.908578,0,0,0
1465,87,51,2012,8.285758,0,0,0
4362,237,114,2004,73.680234,1,1,0
1985,96,57,2011,62.430708,0,0,0
1445,213,139,1985,117.070733,0,1,0
1216,133,48,2003,201.118698,0,1,0
1143,127,51,1996,312.175722,0,1,0
1525,96,57,2008,62.430708,0,0,0
1328,255,99,1984,107.744807,0,1,0
1612,179,80,1998,156.366735,0,1,0
8205,488,170,1942,61.29683,1,1,0
5601,252,70,1970,72.28319,0,1,0
1006,83,48,1999,109.626937,0,0,0
1379,250,143,2001,166.102184,0,1,0
1990,114,84,2005,170.160649,0,1,0
2203,136,90,2004,190.471837,0,1,0
3478,244,116,2000,151.637037,0,1,0
1314,345,66,1972,85.127715,0,1,0
5675,237,84,1963,72.088129,1,1,0
1382,133,65,2002,242.687146,0,1,0
2412,220,85,2005,95.270595,0,0,0
1180,100,62,1998,291.532196,0,1,0
17750,1150,383,1991,12.717397,1,1,0
1239,118,82,1955,209.180378,0,1,0
3945,2619,167,2007,4.687968,0,0,0
1440,146,57,2009,201.805104,0,1,0
3732,900,257,1998,72.088129,1,1,0
1396,159,73,2003,186.703787,0,1,0
13915,641,200,1986,46.308189,0,1,0
1379,200,100,1960,80.947651,0,1,0
1572,285,102,1980,136.86117,0,1,0
1065,128,45,1996,216.854024,0,1,0
1060,164,92,1973,147.303733,0,1,0
1253,104,55,2011,16.20699,0,0,0
2652,188,136,1983,188.111177,0,1,0
7048,345,140,1979,106.687081,0,1,0
4363,233,131,2007,171.441234,0,1,0
1482,162,62,1998,221.222201,0,1,0
3830,265,139,1983,96.432777,0,1,0
3764,750,117,1986,55.52708,0,1,0
5855,437,143,2001,66.67449,0,1,0
3618,213,106,2010,62.277516,0,1,0
1024,122,62,2007,219.032863,0,1,0
5451,629,227,1954,273.969129,0,1,0
8841,285,194,1913,60.03449,0,1,0
2890,155,108,1999,30.756651,0,0,0
4509,510,41,1962,98.127364,0,1,0
1763,133,67,2005,164.261487,0,1,0
1070,200,123,1990,46.86534,0,1,0
2230,342,135,1957,134.862155,0,1,0
2550,141,94,2013,143.444847,0,1,0
2275,171,85,2010,149.00328,0,1,0
1360,125,50,2001,228.191274,0,1,0
6109,522,140,2011,57.725479,0,0,0
2662,162,36,1973,244.022861,0,1,0
2976,189,109,1987,173.225698,0,1,1
9642,5000,244,1974,9.218627,0,0,0
1321,78,67,2001,207.38966,0,0,0
2142,196,88,2011,2.936843,0,0,0
2310,136,110,2006,206.158508,0,1,0
2076,189,70,1999,51.480825,0,1,0
1095,85,45,1999,406.432508,0,1,0
7074,554,398,1972,36.140084,0,1,0
1550,608,18,1986,23.969869,0,1,0
1019,171,50,1956,232.95215,0,1,0
1150,83,50,1993,325.23956,0,1,0
1091,82,55,2008,362.901891,0,1,0
6395,576,191,1963,253.864867,1,1,0
6094,270,69,1970,67.877109,0,1,0
1899,171,106,1958,154.145885,0,1,0
1799,127,80,2001,231.154026,0,1,0
7180,388,140,1997,71.326365,0,1,0
3420,157,120,2009,217.486835,0,0,0
3063,341,93,1960,124.64366,0,1,0
9440,4160,177,1980,5.162661,0,0,0
5623,1400,201,1998,43.82344,0,1,0
1583,165,78,1970,95.367582,1,1,0
1211,408,56,1961,83.286147,0,1,0
5220,240,75,1964,42.586511,0,1,1
1538,180,68,1993,152.986649,0,1,0
4500,392,153,2003,61.202844,0,1,0
1661,122,66,2004,67.3503,0,1,0
2017,130,74,2011,33.978921,0,1,0
1426,116,59,2010,158.208268,0,1,0
8288,500,237,1984,45.659365,0,1,0
6060,189,162,1988,144.477396,0,1,1
1094,120,108,1982,242.729748,0,1,0
1632,190,70,1993,150.172501,0,1,0
6000,393,124,1970,71.730828,1,1,0
4915,282,116,1964,112.362169,1,1,0
1184,277,62,1974,93.935336,0,1,0
2868,196,176,1998,111.002217,0,1,0
2079,130,80,2012,33.969678,0,0,0
2006,176,67,2000,125.111045,0,1,0
2577,281,75,1999,71.361093,0,1,0
1974,122,109,2008,222.985178,0,0,0
5885,517,140,2011,57.725479,0,0,0
4608,300,161,1997,52.481921,1,1,0
1031,163,50,1973,176.725517,0,1,0
1420,114,55,1983,332.487272,0,1,0
6292,187,140,1959,61.74213,0,1,0
1864,200,87,2006,165.157685,0,1,0
2887,142,107,2010,43.612511,0,1,0
1326,241,149,1965,105.77566,0,1,0
1380,171,56,1993,147.775107,0,1,0
1284,116,80,1954,173.211496,0,1,0
1969,100,80,1967,156.910332,0,1,0
2679,129,88,2003,204.10821,0,1,1
1096,243,78,1986,133.310088,0,1,0
7420,625,164,2012,2.737282,0,0,0
1650,300,140,1987,98.083897,0,1,0
1139,310,58,1963,74.129535,0,1,0
2637,252,58,1991,161.059489,0,1,0
2835,239,115,1999,135.348237,0,1,0
2071,210,67,1996,154.540709,0,1,0
9302,740,53,1995,11.057605,0,1,1
1063,94,61,1930,221.460792,0,1,0
1320,111,63,2007,28.931338,0,0,0
1398,427,101,1987,76.668417,0,1,0
1329,126,53,1993,183.110778,0,1,0
1340,149,56,1985,113.820751,0,1,0
4906,338,145,1958,55.218114,0,1,0
1042,419,136,2000,135.299975,0,1,0
1190,245,63,1974,61.305647,0,1,0
1400,98,63,2009,220.42206,0,0,0
4617,243,189,2000,81.247909,0,1,0
8273,390,126,1975,59.896456,1,1,0
1019,124,47,1995,216.916819,0,1,0
8865,226,186,2002,54.668626,0,1,1
1029,67,70,1970,263.445093,0,1,0
1311,144,67,1998,211.607571,0,1,0
1051,203,118,1998,174.786176,0,1,0
1713,186,70,1996,142.065653,0,1,0
1181,132,45,1987,209.006772,0,1,0
1240,142,45,1994,203.611195,0,1,0
3558,252,103,2007,40.066924,0,0,0
1980,124,78,2009,81.671164,0,0,0
1350,100,60,2009,14.851607,0,1,0
1086,280,72,1968,145.997433,0,1,0
1508,135,54,1996,180.734628,0,1,0
1046,241,35,1977,141.648166,0,1,0
1225,1717,87,2011,20.957715,0,1,0
3126,261,67,1986,97.630765,1,1,0
1272,220,58,1970,129.453348,0,1,0
