Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m,es_depto
8011,158,158,2007,6.266257,0,0,0,TRUE
5466,129,129,2010,113.869833,0,1,0,TRUE
1902,192,128,2005,68.315727999999993,0,1,0,FALSE
1932,47,47,2003,239.625859,0,1,0,TRUE
1649,194,81,1968,76.605371,0,1,0,FALSE
7001,755,138,1987,41.483255,1,1,1,FALSE
3050,268,93,2003,125.706269,0,0,0,FALSE
7231,143,143,1982,65.522781,1,1,0,TRUE
13490,1088,368,2009,18.461318,0,1,0,FALSE
2040,65,65,2009,365.683484,1,1,1,TRUE
1071,33,33,2012,1447.680019,0,1,0,TRUE
6550,170,170,2010,2.737282,0,0,0,TRUE
2360,66,66,2003,614.160314,0,1,0,TRUE
2242,84,84,1998,661.226216,0,1,0,TRUE
1451,158,48,1987,173.573932,0,1,0,FALSE
1131,138,48,2000,167.733235,0,1,0,FALSE
6820,416,222,2010,19.472724,0,1,0,FALSE
1586,56,56,2009,223.063993,0,1,0,TRUE
3500,165,75,1976,104.165207,0,1,0,FALSE
1046,56,56,2000,190.561305,0,1,0,TRUE
3435,92,92,2011,92.795351,0,1,0,TRUE
5950,117,117,2004,416.363738,0,1,0,TRUE
2700,172,90,2008,116.369612,0,0,0,FALSE
8400,306,168,1966,59.949553,0,1,0,FALSE
1969,100,80,1967,156.910332,0,1,0,FALSE
3906,125,125,1996,97.630765,1,1,0,TRUE
1861,61,61,2009,582.163758,0,1,0,TRUE
1004,129,100,1999,200.97973,0,1,0,FALSE
2369,160,88,2010,176.986562,0,1,0,FALSE
2098,46,46,2011,184.89062,1,1,0,TRUE
1348,74,45,1990,220.515868,0,1,0,FALSE
10484,140,140,2003,71.435659,1,0,0,TRUE
2010,46,46,2012,38.784132,0,1,0,TRUE
1537,267,120,1994,101.677172,0,1,0,FALSE
1037,94,72,1998,391.881912,0,1,0,FALSE
1380,157,90,1997,219.167062,0,1,0,FALSE
1085,251,63,2004,155.807938,0,1,0,FALSE
2351,68,68,2009,181.991063,0,1,0,TRUE
1076,162,7,1985,249.069032,0,1,0,FALSE
3091,200,93,1994,160.711692,0,1,0,FALSE
2500,54,54,2007,95.320195,1,1,0,TRUE
1577,126,84,2004,164.261487,0,1,0,FALSE
1696,185,121,1996,142.959113,0,1,0,FALSE
1123,73,73,2006,26.146926,0,1,0,TRUE
6693,140,140,2000,695.665925,0,1,1,TRUE
9100,200,105,1965,90.934334,0,1,0,FALSE
2660,140,69,1963,100.275536,0,1,0,FALSE
1740,204,52,2012,10.951939,0,1,0,FALSE
7581,360,214,1995,10.413763,0,1,0,FALSE
1500,65,65,2009,59.776448,0,1,0,TRUE
1400,250,101,1985,113.196393,0,1,0,FALSE
1379,49,49,2009,2108.09314,0,1,1,TRUE
5006,100,100,2005,512.061204,0,1,0,TRUE
3496,121,121,1966,153.860544,1,1,1,TRUE
11683,186,186,2012,15.817097,0,0,0,TRUE
1390,38,38,1994,186.727781,0,1,0,TRUE
3005,60,60,2012,436.55063,0,1,0,TRUE
6772,394,264,2005,53.102689,0,1,0,FALSE
1703,76,76,1997,428.667552,0,1,0,TRUE
6498,194,194,1994,193.235198,0,1,0,TRUE
4179,107,107,2010,76.115133,0,1,0,TRUE
6899,748,154,1958,92.370755,1,1,0,FALSE
1249,29,29,2010,971.444535,0,1,0,TRUE
11890,186,186,2012,15.817097,0,0,0,TRUE
1146,130,56,2007,122.939774,0,1,0,FALSE
1262,28,28,2011,365.683484,1,1,1,TRUE
